X	Y	Z	Ni(%)			
1869.19	816	36.88	0.354
1869.19	816	36.18	0.323
1869.19	816	35.13	0.417
1869.19	816	33.73	0.478
1869.19	816	32.53	0.447
1869.19	816	31.58	0.432
1869.19	816	30.63	0.546
1869.19	816	30.03	0.931
1869.19	816	29.36	0.494
1057.56	1348	28.26	0.699
1057.69	1348	27.29	0.629
1057.38	1347	26.07	0.71
1057.5	1347	25.1	1.03
1057.56	1347	24.12	1.615
1057.69	1347	23.15	0.773
1057.75	1347	22.17	0.731
1057.88	1347	21.2	1.745
1058	1347	20.23	1.125
1057.75	1346	19.01	1.065
1057.88	1346	18.03	1.7
1057.94	1346	17.06	0.983
1161.44	1173	37.24	0.49
1161.44	1173	36.24	0.547
1161.44	1173	35.24	0.79
1161.44	1173	34.24	0.946
1161.44	1173	33.24	1.015
1161.44	1173	32.24	0.632
1161.44	1173	31.24	0.696
1161.44	1173	30.24	0.921
1161.44	1173	24.24	1.015
1161.44	1173	23.24	0.8
1161.44	1173	22.24	0.653
1161.44	1173	21.24	0.794
1161.44	1173	20.24	1.22
1161.44	1173	19.24	1.92
1161.44	1173	18.24	2.02
1161.44	1173	17.24	2.09
408.56	525	97.98	0.49
408.56	525	96.98	0.43
408.56	525	95.98	0.56
408.56	525	94.98	0.44
408.56	525	93.98	0.31
408.56	525	86.98	0.29
408.56	525	85.98	0.37
408.56	525	84.98	0.3
408.56	525	83.98	0.26
408.56	525	82.98	0.28
408.56	525	81.98	0.26
408.56	525	78.98	0.29
408.56	525	77.98	0.32
408.56	525	76.98	0.31
408.56	525	75.98	0.35
408.56	525	74.98	0.36
408.56	525	73.98	0.34
408.56	525	72.98	0.45
408.56	525	71.98	0.75
408.56	525	70.98	0.53
408.56	525	69.98	0.47
408.56	525	68.98	0.44
408.56	525	67.98	0.29
408.56	525	66.98	0.37
408.56	525	65.98	0.5
408.56	525	64.98	0.55
408.56	525	63.98	1.08
408.56	525	62.98	0.34
408.56	525	61.98	0.5
408.56	525	60.98	0.83
408.56	525	59.98	0.25
408.56	525	58.98	0.54
408.56	525	34.98	0.62
408.56	525	33.98	0.61
408.56	525	32.98	0.5
1832.63	408	42.35	0.73
1832.63	408	41.35	0.32
1832.63	408	40.35	0.34
1832.63	408	39.35	0.32
1832.63	408	38.35	0.35
1832.63	408	37.35	0.32
1832.63	408	36.35	0.34
1832.63	408	35.35	0.38
1832.63	408	34.35	0.33
1832.63	408	33.35	0.36
1832.63	408	32.35	0.39
1832.63	408	31.35	0.39
1832.63	408	30.35	0.35
1832.63	408	29.35	0.55
1832.63	408	28.35	0.37
1832.63	408	27.35	0.39
1832.63	408	26.35	0.49
1832.63	408	25.35	1.03
1832.63	408	16.35	0.3
1832.63	408	15.35	0.31
1832.63	408	14.35	0.29
1656.13	1032	53.76	0.68
1656.13	1032	52.76	0.805
1656.13	1032	51.76	0.518
1656.13	1032	50.76	0.447
1656.13	1032	49.92	0.623
1656.13	1032	43.58	0.442
1656.13	1032	42.76	0.555
1656.13	1032	41.76	0.341
1656.13	1032	40.9	0.494
1656.13	1032	28.36	1.035
1656.13	1032	27.63	1.32
1656.13	1032	26.76	1.33
1656.13	1032	25.68	1.38
1656.13	1032	24.68	1.045
1656.13	1032	23.76	1.21
1656.13	1032	22.76	1.075
863.94	850	67.11	0.254
863.94	850	66.11	0.307
863.94	850	65.11	0.344
863.94	850	64.11	0.317
863.94	850	63.11	0.698
863.94	850	62.11	0.393
863.94	850	61.11	0.366
863.94	850	60.11	0.34
863.94	850	59.11	0.46
863.94	850	58.11	0.367
863.94	850	57.11	0.409
863.94	850	56.11	0.252
863.94	850	55.11	0.421
863.94	850	54.11	0.42
863.94	850	53.11	0.541
863.94	850	52.11	0.403
863.94	850	51.11	0.336
863.94	850	50.11	0.206
863.94	850	49.11	0.512
863.94	850	48.11	0.264
863.94	850	47.11	0.403
863.94	850	46.11	0.335
863.94	850	45.11	0.259
863.94	850	44.11	0.317
863.94	850	43.11	0.375
863.94	850	42.11	0.333
863.94	850	41.11	0.346
863.94	850	40.11	0.31
863.94	850	39.25	0.369
863.94	850	38.51	0.267
863.94	850	37.78	0.368
863.94	850	37.02	0.511
863.94	850	36.34	0.602
863.94	850	35.59	0.249
863.94	850	34.46	0.319
863.94	850	33.21	0.502
863.94	850	32.11	0.483
863.94	850	31.11	0.423
863.94	850	30.34	0.418
863.94	850	29.66	2.28
863.94	850	28.94	1.405
863.94	850	28.11	1.165
863.94	850	27.11	0.963
863.94	850	26.11	0.57
863.94	850	25.11	0.591
863.94	850	24.11	0.546
863.94	850	23.11	0.603
863.94	850	22.11	0.487
863.94	850	21.11	0.525
863.94	850	20.11	0.675
863.94	850	19.11	0.744
863.94	850	18.11	0.438
863.94	850	17.21	0.407
1734.5	933	58.96	0.42
1734.5	933	57.96	0.301
1734.5	933	56.96	0.266
1734.5	933	56.2	0.488
1734.5	933	55.7	0.408
1734.5	933	54.96	0.506
1734.5	933	53.96	0.484
1734.5	933	52.96	0.315
1734.5	933	51.96	0.282
1734.5	933	50.96	0.332
1734.5	933	49.96	0.219
1734.5	933	48.96	0.292
1734.5	933	47.96	0.326
1734.5	933	46.96	0.319
1734.5	933	45.96	0.259
1734.5	933	44.96	0.423
1734.5	933	43.96	0.37
1734.5	933	42.96	0.343
1734.5	933	41.96	0.35
1734.5	933	40.96	0.36
1734.5	933	39.96	0.385
1734.5	933	31.96	1.62
1734.5	933	31.11	1.475
1734.5	933	30.41	0.962
1734.5	933	29.76	2.33
911.81	846	67.02	0.365
911.81	847	65.36	0.28
911.5	847	64.46	0.233
911.13	847	63.56	0.294
911.13	848	61.93	0.302
910.81	848	61.04	0.316
910.88	849	59.41	0.48
910.5	849	58.54	0.603
910.19	849	57.67	0.896
910.25	850	56.06	1.055
909.94	850	55.2	0.671
909.56	850	54.34	0.628
909.56	851	53.77	0.378
908.44	853	50.57	0.346
905.31	858	42.77	0.254
903.19	861	38.41	0.27
902.88	861	37.69	0.437
902.75	862	37.49	0.406
902.31	862	36.81	0.39
902	862	36.1	0.225
901.88	863	35.91	0.404
901.5	863	35.23	0.494
901.19	863	34.63	0.321
901.19	864	34.67	0.399
900.88	864	34.23	1.065
900.63	864	33.67	0.669
900.5	865	33.49	0.634
900.06	865	32.82	0.38
899.75	865	32.12	0.998
899.56	866	31.98	1.565
899.25	866	31.29	1.39
899.06	867	31.15	1.495
898.69	867	30.42	2.05
898.31	867	29.71	0.952
898.19	868	29.54	1.635
897.81	868	28.83	3.61
897.69	869	28.66	3.54
897.31	869	27.96	2.01
897	869	27.23	1.02
896.81	870	27.08	2.2
896.38	870	26.38	0.357
896.25	871	26.2	0.232
895.5	871	24.77	0.313
895.38	872	24.73	0.338
894.94	872	24.08	0.2
892.44	877	19.63	0.894
892	877	18.98	0.579
892.19	878	18.88	0.866
891.81	878	18.22	0.365
891.38	878	17.45	0.794
891.44	880	16.58	0.302
891.06	880	15.98	0.3
891.38	881	15.85	0.273
890.94	881	15.17	0.326
890.56	881	14.49	0.274
890.75	882	14.39	0.864
890.38	882	13.7	0.445
890.56	883	13.59	0.638
890.25	883	12.87	0.823
889.81	883	12.18	0.945
890.06	884	12.07	0.817
889.63	884	11.36	0.97
889.88	885	11.25	1.01
889.44	885	10.54	0.49
889.75	886	10.41	0.338
889.31	886	9.68	0.679
888.94	886	8.96	0.584
889.19	887	8.85	0.754
888.75	887	8.12	1.825
1933.81	911	68.28	0.592
1933.31	911	67.46	0.621
1932.81	911	66.64	0.505
1932.31	911	65.82	0.298
1931.81	911	64.99	0.282
1931.31	911	64.17	0.287
1930.81	911	63.37	0.291
1930.38	912	62.31	0.216
1929.88	912	61.54	0.249
1929.38	912	60.79	0.34
1928.88	912	60.05	0.299
1928.38	912	59.3	0.373
1927.88	912	58.56	0.283
1927.38	912	57.82	0.328
1926.88	912	57.07	0.308
1926.38	912	56.33	0.286
1925.94	912	55.56	0.304
1925.38	912	54.82	0.291
1924.88	912	54.07	0.294
1924.38	912	53.33	0.267
1923.88	912	52.58	0.22
1923.38	912	51.84	0.204
1922.88	912	51.09	0.345
1922.38	912	50.35	0.297
1921.88	912	49.62	0.289
1921.38	912	48.91	0.297
1920.81	912	48.19	0.3
1920.31	912	47.43	0.348
1919.81	912	46.68	0.254
1919.31	912	45.92	0.246
1918.81	912	45.17	0.255
1918.31	912	44.4	0.449
1917.81	912	43.62	0.427
1917.31	912	42.85	0.461
1916.81	912	42.11	0.522
1916.31	912	41.36	0.6
1915.81	912	40.62	0.513
1915.31	912	39.88	0.467
1914.81	912	39.14	0.509
1901.13	913	18.34	0.527
1900.63	913	17.55	0.668
1900.13	913	16.76	0.497
1899.56	913	15.97	0.332
1899.06	913	15.19	0.35
1437.69	847	100.36	0.316
1437.69	847	99.32	0.233
1437.69	847	98.32	0.594
1437.69	847	97.36	0.579
1437.69	847	96.36	0.633
1437.69	847	95.36	0.426
1437.69	847	94.36	0.334
1437.69	847	93.36	0.285
1437.69	847	92.36	0.322
1437.69	847	91.36	0.326
1437.69	847	90.36	0.368
1437.69	847	89.36	0.332
1437.69	847	88.36	0.578
1437.69	847	87.36	0.615
1437.69	847	86.36	0.567
1437.69	847	85.36	0.318
1437.69	847	84.36	0.289
1437.69	847	83.36	0.27
1437.69	847	82.36	0.215
1437.69	847	81.36	0.248
1437.69	847	80.36	0.293
1437.69	847	79.36	0.228
1437.69	847	78.36	0.217
1437.69	847	77.36	0.277
1437.69	847	76.44	0.358
1437.69	847	75.44	0.034
1437.69	847	74.36	0.035
1437.69	847	73.24	0.183
1437.69	847	39.36	2.41
1437.69	847	38.36	2.58
1437.69	847	37.36	2.35
1437.69	847	36.36	2.15
1437.69	847	35.36	2.66
1437.69	847	34.36	1.78
1437.69	847	33.36	2.25
1437.69	847	32.36	2.14
1437.69	847	31.36	1.545
1437.69	847	30.36	1.23
1437.69	847	29.36	1.03
1437.69	847	28.36	1.105
1437.69	847	27.36	1.71
1437.69	847	26.36	2.28
1437.69	847	25.36	1.525
1437.69	847	24.36	1.775
1437.69	847	23.36	1.81
1437.69	847	22.36	2.2
1437.69	847	21.36	2.13
1437.69	847	20.36	1.92
1437.69	847	19.36	2.02
1437.69	847	18.36	2.39
1437.69	847	17.36	2.17
1437.69	847	16.36	2.46
1437.69	847	15.36	1.28
1437.69	847	14.36	0.62
1437.69	847	13.36	1.58
1437.69	847	12.36	1.755
967.38	791	91.63	0.302
967	791	90.56	0.336
965.75	792	89.88	0.355
965.38	792	88.82	0.294
958.63	796	80.19	0.293
957.56	797	79.89	0.36
957.25	797	78.94	0.357
956.25	798	78.63	0.303
955.88	798	77.66	0.317
955.56	798	76.69	0.324
954.5	799	76.22	0.383
954.06	799	75.2	0.374
929.31	818	31.79	0.047
928.88	818	30.89	0.048
928.63	818	30.19	0.079
928.13	819	30.11	0.168
927.81	819	29.5	0.149
927.5	819	28.76	0.178
926.94	820	28.39	0.133
926.56	820	27.52	0.158
926.19	820	26.65	0.142
925.63	821	26.29	0.126
925.25	821	25.43	0.169
924.81	821	24.56	0.099
924.25	822	24.22	0.17
923.88	822	23.36	0.24
923.25	823	23.03	0.141
922.81	823	22.08	0.138
922.44	823	21.23	0.117
921.88	824	21	0.186
921.44	824	20.15	0.272
920.88	825	19.85	0.191
920.5	825	19	0.437
920.06	825	18.15	0.428
919.88	826	16.65	0.441
919.44	826	15.8	0.338
1959.31	1608	28.52	0.719
1959.31	1608	27.52	0.782
1959.31	1608	26.72	0.799
1959.31	1608	26.02	0.316
1959.31	1608	25.21	1.07
1959.31	1608	24.41	0.531
1959.31	1608	23.52	0.863
1959.31	1608	22.52	0.365
1959.31	1608	21.44	0.258
1959.31	1608	20.44	0.684
1959.31	1608	19.52	0.651
1959.31	1608	18.52	0.844
1959.31	1608	17.52	0.983
1959.31	1608	16.52	0.623
1959.31	1608	15.52	0.359
1959.31	1608	14.52	0.318
1959.31	1608	13.52	0.357
1959.31	1608	12.37	0.379
1959.31	1608	11.37	0.378
1959.31	1608	10.52	0.341
1959.31	1608	9.52	0.395
885.63	899	89.73	0.317
885.31	899	88.95	0.26
885	899	88.12	0.272
885.25	900	87.9	0.28
884.94	900	87.11	0.266
884.5	901	86.74	0.284
884.19	901	85.95	0.24
883.81	901	85.16	0.3
883.13	902	84.76	0.395
882.81	902	83.97	0.374
882.5	902	83.18	0.352
881.81	903	82.72	0.583
880.19	904	79.33	0.32
879.56	905	78.76	0.288
879.25	905	77.86	0.244
878.94	905	76.96	0.358
878.31	906	76.36	0.34
877.94	906	75.47	0.561
877.25	907	74.89	0.617
877	907	74	0.479
876.69	907	73.11	0.551
875.94	908	72.55	0.181
875.69	908	71.67	0.211
875	909	71.14	0.373
874.69	909	70.26	0.467
874.38	909	69.38	0.439
873.75	910	68.88	0.335
873.44	910	68.01	0.34
872.75	911	67.51	0.389
872.44	911	66.65	0.451
872.13	911	65.77	0.43
871.44	912	65.28	0.311
871.06	912	64.4	0.215
870.44	913	63.92	0.204
870.13	913	63.05	0.2
869.75	913	62.11	0.324
869.06	914	61.51	0.437
868.81	914	60.71	0.181
868.19	915	60.44	0.275
867.88	915	59.58	0.092
867.56	915	58.71	0.243
866.94	916	58.28	0.19
866.63	916	57.39	0.217
866	917	56.96	0.177
865.63	917	56.07	0.447
865.31	917	55.19	0.188
864.75	918	55	0.154
864.56	918	54.56	0.225
864.31	918	53.91	0.291
863.69	919	53.53	0.215
863.31	919	52.67	0.271
862.75	920	52.3	0.323
862.38	920	51.45	0.277
862.06	920	50.6	0.368
861.38	921	50.27	0.387
861.06	921	49.42	0.383
860.38	922	49.1	0.384
860.13	922	48.26	0.496
859.75	922	47.41	0.475
859.13	923	47.09	0.484
858.81	923	46.24	0.478
858.13	924	45.94	0.413
857.88	924	45.1	0.404
857.56	924	44.44	0.313
847.75	929	35.2	0.453
845.88	930	34.33	0.321
845.56	930	33.46	0.426
845.19	930	32.58	0.432
843.38	931	31.76	0.456
843	931	30.89	0.523
841.13	932	30.12	0.491
840.75	932	29.25	0.415
838.75	933	28.52	0.412
838.38	933	27.59	0.475
838.06	933	26.67	0.478
836.13	934	25.76	0.452
835.81	934	24.95	0.439
833.81	935	24.12	0.678
833.44	935	23.11	0.735
815.31	943	11.32	2.07
338.38	485	91.09	0.295
338.31	485	90.36	0.204
337.75	484	89.45	0.34
337.69	484	88.46	0.29
337.19	483	87.57	0.356
337.19	483	86.7	0.4
336.56	482	85.84	0.399
336.56	482	84.98	0.404
336	481	84.13	0.401
336	481	83.27	0.411
335.38	480	82.45	0.41
335.38	480	81.58	0.41
334.81	479	80.79	0.372
334.75	479	79.93	0.292
334.19	478	79.14	0.234
334.19	478	78.46	0.314
334.13	478	78.05	1.29
333.63	477	77.53	0.921
333.56	477	76.68	0.563
333	476	75.97	0.304
332.94	476	74.98	0.407
332.88	472	69.27	0.813
332.81	472	68.32	0.712
332.88	471	67.48	0.203
332.88	471	66.79	0.29
333	470	65.94	0.38
332.94	470	65.03	0.347
332.94	469	64.19	0.428
332.94	469	63.33	0.386
333	468	62.5	0.295
333	468	61.64	0.266
333.06	467	60.8	0.21
333	467	59.96	0.225
333.13	466	59.11	0.228
333.19	465	58.27	0.214
333.19	465	57.41	0.192
333.19	464	56.58	0.184
333.13	464	55.74	0.213
333.13	464	55.12	0.226
333.25	463	54.71	0.279
333.19	463	54.05	0.372
333.25	462	53.22	0.26
333.25	462	52.36	0.288
333.31	461	51.53	0.276
333.31	461	50.67	0.262
333.31	460	49.84	0.278
333.31	460	48.98	0.294
333.38	459	48.15	0.32
333.31	459	47.32	0.659
333.44	458	46.46	0.744
333.38	458	45.8	0.813
333.44	457	44.18	0.317
333.44	457	43.79	1.97
333.56	456	43.08	1.805
333.5	456	42.26	2.5
333.63	455	41.59	2.39
333.63	453	38.07	0.614
333.63	453	37.22	0.518
333.69	452	36.4	0.403
333.75	451	35.57	0.302
333.69	451	34.76	0.379
333.88	450	33.85	0.314
333.81	450	33.04	0.326
334	449	32.11	0.236
333.94	449	31.3	0.296
334.19	448	30.38	0.326
334.13	448	29.57	0.312
334.38	447	28.63	0.385
334.31	447	27.83	0.343
334.5	446	26.93	0.346
334.75	445	25.99	0.366
334.69	445	25.23	0.266
334.88	444	24.39	0.928
334.81	444	23.54	0.902
335	443	22.67	0.663
334.94	443	21.86	1.275
335.25	442	21.23	1.305
335.19	442	20.83	1.29
335.38	441	20.16	1.43
335.31	441	19.26	1.355
335.56	440	18.42	0.438
335.5	440	17.68	0.447
335.69	439	16.86	0.451
335.63	439	16.04	0.541
335.81	438	15.22	0.187
335.75	438	14.41	0.172
336	437	13.6	0.17
336.19	436	12.8	0.203
336.13	436	12.08	0.359
336.31	435	11.29	0.237
336.25	435	10.37	0.225
336.44	434	9.49	0.763
771.94	1105	38.11	0.534
771.94	1105	37.11	0.946
771.94	1105	36.39	0.788
771.94	1105	31.11	0.826
771.94	1105	30.11	0.704
771.94	1105	29.11	0.487
771.94	1105	28.11	0.525
771.94	1105	27.11	0.628
771.94	1105	26.11	0.585
771.94	1105	25.11	1.59
771.94	1105	24.11	1.26
771.94	1105	23.36	0.903
771.94	1105	22.86	0.334
771.94	1105	22.11	0.463
771.94	1105	21.11	0.437
771.94	1105	19.96	0.441
771.94	1105	18.96	1.045
878	1097	36.06	2.92
878	1097	35.06	2.04
878	1097	34.06	2.25
878	1097	33.06	2.88
878	1097	31.96	1.48
878	1097	30.96	1.345
878	1097	30.29	1.01
878	1097	29.79	1.265
878	1097	29.06	1.35
878	1097	28.06	0.404
878	1097	27.32	0.429
878	1097	26.82	0.517
878	1097	26.06	0.496
878	1097	25.06	0.442
878	1097	24.19	0.436
878	1097	23.61	0.182
878	1097	22.99	0.583
878	1097	22.06	1.04
878	1097	21.06	1.92
878	1097	20.06	1.285
878	1097	19.06	0.513
878	1097	18.06	0.709
878	1097	17.06	0.756
878	1097	15.99	0.773
878	1097	14.99	1.145
878	1097	14.06	1.15
878	1097	13.26	1.155
878	1097	12.56	1.755
878	1097	11.86	0.905
878	1097	11.06	1.6
878	1097	10.19	1.38
878	1097	9.19	2.01
878	1097	8.06	2.55
1779.75	1179	57.29	0.467
1779.75	1179	56.54	0.586
1779.75	1179	55.87	0.509
1779.75	1179	49.12	0.653
1779.75	1179	48.12	0.835
1779.75	1179	47.12	0.584
1779.75	1179	46.12	0.557
1779.75	1179	45.12	0.706
1779.75	1179	30.12	1.185
1779.75	1179	29.12	3.44
1779.75	1179	28.35	3.71
1779.75	1179	27.85	3.84
1779.75	1179	27.12	3.84
1779.75	1179	26.12	3.57
1779.75	1179	25.27	3.3
1779.75	1179	24.27	0.477
1779.75	1179	23.12	0.693
1779.75	1179	21.12	0.641
1779.75	1179	20.12	0.443
1779.75	1179	19.12	0.496
1779.75	1179	18.12	0.619
2237.75	835	65.39	0.474
2237.75	835	64.74	0.598
2237.75	835	64.04	0.768
2237.75	835	63.19	0.979
2237.75	835	62.19	0.881
2237.75	835	61.19	0.552
2237.75	835	60.19	0.591
2237.75	835	59.19	0.447
2237.75	835	58.12	0.652
2237.75	835	57.12	0.931
2237.75	835	49.19	1.88
2237.75	835	48.47	1.9
2237.75	835	47.97	1.155
2237.75	835	47.19	3.84
2237.75	835	46.19	3.84
2237.75	835	45.19	3.84
2237.75	835	44.19	3.84
2237.75	835	43.19	3.57
2237.75	835	42.19	3.81
2237.75	835	41.19	3.84
2237.75	835	40.19	3.39
2237.75	835	39.19	2.94
2237.75	835	38.39	2.96
2237.75	835	37.89	1.38
2237.75	835	37.19	1.455
2237.75	835	36.19	1.315
2237.75	835	35.19	1.205
2237.75	835	34.19	0.377
2237.75	835	33.19	0.669
2237.75	835	32.19	0.33
2237.75	835	31.19	0.613
2237.75	835	30.19	0.368
2237.75	835	29.19	0.748
2237.75	835	28.19	0.979
2237.75	835	27.19	1.68
2237.75	835	26.19	2.24
2237.75	835	25.48	1.925
2237.75	835	24.98	1.765
2237.75	835	24.19	2.03
2237.75	835	23.19	1.66
2237.75	835	22.19	1.485
2237.75	835	21.19	1.745
2237.75	835	20.19	1.605
2237.75	835	19.19	0.566
2237.75	835	18.19	0.726
2237.75	835	17.19	0.614
2237.75	835	16.19	0.475
2237.75	835	15.19	0.606
2237.75	835	14.19	0.711
2237.75	835	13.19	0.739
1858.44	215	71.28	0.329
1858.44	215	64.07	0.411
1858.44	215	62.98	0.302
1858.44	215	61.87	0.269
1858.44	215	58.83	0.563
1858.44	215	57.98	0.608
1858.44	215	56.98	0.519
1858.44	215	55.98	0.535
1858.44	215	54.98	0.623
1858.44	215	53.98	0.718
1858.44	215	52.98	0.561
1858.44	215	51.98	0.623
1858.44	215	50.98	0.341
1858.44	215	49.98	0.358
1858.44	215	49.08	0.759
1858.44	215	48.46	0.203
1858.44	215	47.86	0.392
1858.44	215	42.98	0.414
1858.44	215	41.98	0.43
1858.44	215	40.98	0.444
1858.44	215	39.98	0.681
1858.44	215	38.98	0.523
1858.44	215	37.98	0.341
1858.44	215	36.98	0.334
1858.44	215	36.2	0.709
1858.44	215	35.7	2.04
1858.44	215	34.98	1.9
1858.44	215	33.98	2.25
1858.44	215	32.98	1.865
1858.44	215	32.13	0.712
1858.44	215	31.13	1.93
1858.44	215	29.98	1.76
1858.44	215	28.98	2.26
1858.44	215	27.98	2.02
1858.44	215	26.98	1.995
1858.44	215	25.98	1.615
1858.44	215	24.98	1.5
1858.44	215	23.98	1.235
1858.44	215	22.98	0.842
1858.44	215	21.98	0.82
1858.44	215	20.98	0.845
1858.44	215	19.98	1.015
1858.44	215	18.98	0.553
1858.44	215	17.98	0.541
1858.44	215	16.98	0.74
1858.44	215	15.98	0.617
1858.44	215	14.98	0.533
1858.44	215	13.8	0.587
1724.63	680	106.6	0.264
1724.63	680	105.7	0.257
1724.63	680	97.7	0.274
1724.63	680	96.7	0.273
1724.63	680	95.7	0.457
1724.63	680	94.7	0.381
1724.63	680	93.7	0.292
1724.63	680	92.7	0.381
1724.63	680	91.7	0.329
1724.63	680	90.7	0.416
1724.63	680	89.7	0.457
1724.63	680	88.7	0.491
1724.63	680	88	0.371
1190	921	99.53	0.482
1190	921	99.03	0.7
1190	921	98.33	0.77
1190	921	97.33	0.651
1190	921	96.33	0.487
1190	921	95.33	0.681
1190	921	94.33	0.495
1190	921	93.33	0.436
1190	921	92.63	0.146
1190	921	92.13	0.667
1190	921	91.3	0.545
1190	921	90.3	0.312
1190	921	89.33	0.302
1190	921	88.33	0.508
1190	921	87.33	0.448
1190	921	86.33	0.572
1190	921	85.33	0.431
1190	921	84.37	0.403
1190	921	83.37	0.621
1190	921	82.33	0.485
1190	921	81.33	0.344
1190	921	80.33	0.27
1190	921	79.33	0.202
1190	921	78.33	0.311
1190	921	77.33	0.299
1190	921	76.33	0.281
1190	921	75.33	0.298
1190	921	74.33	0.352
1190	921	73.33	0.391
1190	921	72.33	0.355
1190	921	71.33	0.517
1190	921	70.33	0.458
1190	921	69.33	0.249
1190	921	68.33	0.275
1190	921	67.33	0.28
1190	921	66.33	0.3
1190	921	65.33	0.346
1190	921	64.33	0.358
1190	921	63.33	0.314
1190	921	62.33	0.298
1190	921	61.48	0.255
1190	921	60.48	0.283
1190	921	59.33	0.187
1190	921	58.59	0.274
1190	921	58.09	0.456
1190	921	57.33	0.579
1190	921	56.33	0.648
1190	921	55.3	0.658
1190	921	54.3	0.351
1190	921	53.33	0.464
1190	921	52.25	0.652
1190	921	51.25	0.61
1190	921	50.33	0.53
1190	921	49.38	0.5
1190	921	48.38	0.373
1190	921	47.45	0.363
1190	921	46.45	0.434
1190	921	45.33	0.471
1190	921	44.33	0.574
1190	921	43.6	0.457
1190	921	42.98	0.746
1190	921	42.09	0.661
1190	921	41.06	0.632
1190	921	40.18	0.528
1190	921	39.33	0.699
1190	921	38.33	0.559
1190	921	37.33	0.318
1190	921	36.33	0.427
1190	921	35.33	1.27
1190	921	34.33	1.015
1190	921	33.33	0.772
1190	921	32.33	1.035
1190	921	31.33	1.43
1190	921	30.33	1.105
1190	921	29.33	1.035
1190	921	28.33	0.548
1190	921	27.33	0.429
1190	921	26.33	0.488
1190	921	25.33	0.531
1190	921	24.15	1.445
1190	921	23.15	2.24
1190	921	22.33	1.69
1190	921	21.33	1.68
1190	921	20.33	1.075
1190	921	19.53	1.02
1190	921	19.03	1.395
1190	921	18.15	0.757
668.06	665	81.01	0.557
668.06	665	80.01	0.807
668.06	665	78.96	1.365
668.06	665	77.96	1.02
668.06	665	76.96	0.816
668.06	665	75.96	1.155
668.06	665	74.96	1.07
668.06	665	73.96	0.99
668.06	665	72.96	0.591
668.06	665	71.96	0.825
668.06	665	70.96	0.527
668.06	665	69.96	0.5
668.06	665	68.96	0.504
668.06	665	68.03	0.526
668.06	665	67.48	0.21
668.06	665	66.91	0.473
668.06	665	65.96	0.339
668.06	665	64.96	0.356
668.06	665	63.96	0.303
668.06	665	63.13	0.348
668.06	665	49.96	0.43
668.06	665	48.96	0.384
668.06	665	47.96	0.778
668.06	665	40.96	0.606
668.06	665	39.96	0.773
668.06	665	38.96	0.725
668.06	665	37.96	0.451
668.06	665	36.96	0.451
668.06	665	35.96	0.422
668.06	665	34.96	0.32
668.06	665	33.96	0.192
668.06	665	32.96	0.159
668.06	665	31.96	0.122
668.06	665	30.96	0.124
668.06	665	29.96	0.144
668.06	665	28.96	0.136
668.06	665	27.96	0.153
668.06	665	26.96	0.342
668.06	665	25.96	0.751
668.06	665	24.96	0.854
668.06	665	23.96	0.65
668.06	665	22.96	0.357
668.06	665	21.96	0.454
668.06	665	20.96	0.4
668.06	665	19.96	0.352
668.06	665	18.96	0.372
668.06	665	17.96	0.498
668.06	665	16.96	0.609
668.06	665	15.96	0.419
668.06	665	14.96	0.885
668.06	665	13.96	1.345
1570.63	1190	58.26	0.277
1570.63	1190	57.26	0.319
1570.63	1190	56.26	0.261
1570.63	1190	55.41	0.185
1570.63	1190	54.69	0.248
1570.63	1190	30.24	0.464
1570.63	1190	29.26	0.485
1570.63	1190	28.26	0.588
1570.63	1190	27.36	0.283
1570.63	1190	26.36	1.29
1570.63	1190	25.26	0.308
1570.63	1190	24.26	2.33
1570.63	1190	23.26	0.371
1570.63	1190	22.26	0.353
1570.63	1190	21.26	0.29
1570.63	1190	20.26	0.802
1570.63	1190	19.26	0.633
1570.63	1190	18.26	0.396
1570.63	1190	17.26	0.512
1570.63	1190	16.26	0.497
1570.63	1190	15.26	0.491
1641.13	827	42.1	0.345
1641.13	827	41.1	0.44
1641.13	827	40.1	0.375
1641.13	827	39.1	0.448
1641.13	827	38.1	0.287
1641.13	827	37.1	0.393
1641.13	827	36.1	0.528
1641.13	827	35.1	0.376
1641.13	827	34.1	0.469
1641.13	827	33.1	0.504
1641.13	827	32.1	0.437
1641.13	827	31.1	0.483
1641.13	827	30.1	0.394
1641.13	827	29.1	0.446
1641.13	827	28.1	0.651
1641.13	827	27.1	0.578
1641.13	827	26.1	0.603
1641.13	827	25.1	0.638
1641.13	827	24.1	1.04
1641.13	827	23.1	0.663
1641.13	827	22.1	0.7
1641.13	827	21.1	0.826
1641.13	827	20.1	1.245
298.94	692	74.87	0.287
298.94	692	73.87	0.266
298.94	692	72.87	0.294
298.94	692	71.87	0.254
298.94	692	70.87	0.338
298.94	692	27.66	0.445
298.94	692	27.15	0.425
298.94	692	26.65	1.44
298.94	692	25.87	1.505
298.94	692	24.87	0.901
298.94	692	23.87	1.51
298.94	692	22.87	2.3
298.94	692	21.87	2.04
298.94	692	20.87	1.305
298.94	692	19.87	1.26
298.94	692	18.87	1.41
298.94	692	17.87	1.39
298.94	692	16.87	1.16
298.94	692	15.87	1.78
298.94	692	14.87	0.724
298.94	692	13.87	0.188
298.94	692	12.87	0.535
298.94	692	11.87	0.404
1830.19	1074	49.51	0.532
